Neighborhood,Neighborhood Latitude,Neighborhood Longitude,No of Restaurants,Average Top Rating,Average Low Rating
Marble Hill,40.87655077879964,-73.91065965862981,14,7.819999999999999,7.38
Chinatown,40.71561842231432,-73.99427936255978,30,7.84,6.24
Washington Heights,40.85190252555305,-73.93690027985234,30,8.04,6.92
Inwood,40.86768396449915,-73.92121042203897,26,7.413333333333333,6.753333333333333
Hamilton Heights,40.823604284811935,-73.94968791883366,30,7.0600000000000005,5.9399999999999995
Manhattanville,40.8169344294978,-73.9573853935188,21,7.466666666666667,6.666666666666667
Central Harlem,40.81597606742414,-73.94321112603905,24,7.96,6.5
East Harlem,40.79224946663033,-73.94418223148524,30,7.474285714285714,6.497142857142857
Upper East Side,40.775638573301805,-73.96050763135,30,8.22,5.86
Yorkville,40.775929849884875,-73.94711784471826,30,8.36,5.96
Lenox Hill,40.76811265828733,-73.9588596881376,30,8.24,6.2
Roosevelt Island,40.76215960576283,-73.94916769227953,0,0.0,0.0
Upper West Side,40.787657998534854,-73.97705923630603,30,7.84,6.08
Lincoln Square,40.77352888942166,-73.98533777001262,25,8.38,6.12
Clinton,40.75910089146212,-73.99611936309479,30,7.42,5.5
Midtown,40.75469110270623,-73.98166882730304,30,7.319999999999999,5.62
Murray Hill,40.748303077252174,-73.97833207924127,30,6.67,6.4799999999999995
Chelsea,40.744034706747975,-74.00311633472813,30,7.92,6.48
Greenwich Village,40.72693288536128,-73.99991402945902,30,8.52,6.22
East Village,40.727846777270244,-73.98222616506416,30,7.715,6.56
Lower East Side,40.71780674892765,-73.98089031999291,25,7.946666666666666,6.32
Tribeca,40.721521967443216,-74.01068328559087,30,8.28,5.96
Little Italy,40.71932379395907,-73.99730467208073,30,7.9399999999999995,6.0200000000000005
Soho,40.72218384131794,-74.00065666959759,30,8.16,6.0200000000000005
West Village,40.73443393572434,-74.00617998126812,30,8.72,6.42
Manhattan Valley,40.797307041702865,-73.96428617740655,30,7.551428571428572,6.305714285714286
Morningside Heights,40.807999738165826,-73.96389627905332,12,7.225,6.3
Gramercy,40.737209832715,-73.98137594833541,30,7.7,5.92
Battery Park City,40.71193198394565,-74.01686930508617,23,7.66,6.26
Financial District,40.70710710727048,-74.0106654452127,30,6.87,6.03
Carnegie Hill,40.7826825671257,-73.95325646837112,30,8.299999999999999,5.62
Noho,40.72325901885768,-73.98843368023597,30,7.98,6.0
Civic Center,40.71522892046282,-74.00541529873355,30,7.92,6.36
Midtown South,40.7485096643122,-73.98871313285247,30,7.7250000000000005,6.3
Sutton Place,40.76028033131374,-73.96355614094303,30,7.731428571428571,6.982857142857143
Turtle Bay,40.75204236950722,-73.96770824581834,30,7.285,6.365
Tudor City,40.746917410740195,-73.97121928722265,30,7.58,6.82
Stuyvesant Town,40.73099955477061,-73.97405170469203,5,6.9,6.9
Flatiron,40.739673047638426,-73.9909471052826,30,8.04,7.004444444444444
Hudson Yards,40.75665808227519,-74.00011136202637,25,7.26,5.76
